Input.name,Answer.timings,
You Aint Got Nuthin On Me - Lil Wayne.mp3,"0:28,0:29
0:30,0:31
1:28,1:29
1:40,1:41
3:04,3:05
3:16,3:17
3:42,3:43
4:41,4:42
4:53,4:54"
500 Degreez - Lil Wayne.mp3,"0:12, 0:13
0:21, 0:22
2:28, 2:29
2:42, 2:43
2:49, 2:50
2:52, 2:53
2:54, 2:55
2:57, 2:58"
God Bless Amerika - Lil Wayne.mp3,"2:30, 2:31
2:32, 2:33
2:52, 2:53"
Knockout - Lil Wayne.mp3,"2:12,2:13
2:40,2:41"
Tha Heat - Lil Wayne.mp3,"0:05,0:06
0:20,0:21
0:31,0:32
0:41,0:42
1:28,1:29
1:39,1:40
2:35,2:36
2:47,2:48
3:43,3:44
3:54,3:55"
Da Da Da - Lil Wayne.mp3,"2:24,2:25"
Protector - Lil Wayne.mp3,"0:38,0:39"
Tha Mobb - Lil Wayne.mp3,"0:14,0:15
0:16,0:17
0:35,0:36
0:59,1:00
1:20,1:21
1:55,1:56
2:11,2:12
2:13,2:14
2:14,2:15
3:26,3:27
4:07,4:08
4:16,4:17
4:56,4:57"
Two Shots - Lil Wayne.mp3,"0:41,0:42
0:44,0:45
1:18,1:19
1:25, 1:26"
Nightmares of the Bottom - Lil Wayne.mp3,"1:59,2:00
3:31,3:32
3:53,3:54"
Let The Beat Build - Lil Wayne.mp3,"4:03,4:04
4:08,4:09
4:10,4:11
4:12,4:13
4:13,4:14"
Love Me Or Hate Me (Explicit Album Version) - Lil Wayne.mp3,"0:18,0:19
2:00,2:01"
Fly Talkin - Lil Wayne.mp3,"2:08,2:09"
1st Key - Lil Wayne.mp3,"0:45,0:46
2:18,2:19
3:02,3:03
3:21,3:22"
Im Me (Explicit Album Version) - Lil Wayne.mp3,"0:17,0:18
0:26,0:27
0:36,0:37
0:39,0:40
1:05,1:06
1:42,1:43
1:49,1:50
2:12,2:13
3:02,3:03
3:08,3:09
3:36,3:37
4:14,4:15
4:21,4:22
4:28,4:29
4:41,4:42"
Rob Nice Live On The Radio - Lil Wayne.mp3,"0:34, 0:35
0:36, 0:37
0:41, 0:42
0:44, 0:45
0:46, 0:47
0:49, 0:50
0:57, 0:58
0:59, 1:00
1:03, 1:04
1:07, 1:08
1:10, 1:11
1:12, 1:13"
She Will - Lil Wayne.mp3,"1:48, 1:49
1:55, 1:56
2:07, 2:08
3:35, 3:36
3:42, 3:43
3:54, 3:55
4:33, 4:34
4:39, 4:40
4:51, 4:52"
Gonorrhea - Lil Wayne.mp3,"0:56,0:57
1:13,1:14
1:16,1:17
2:07,2:08
3:25,3:26
3:42,3:43
3:45,3:46
4:18,4:19"
Money On My Mind - Lil Wayne.mp3,"0:29,0:30
0:36,0:37
1:21,1:22
1:23,1:24
1:25,1:26
1:36,1:37
1:37,1:38
1:40,1:41
2:37,2:38
2:39,2:40
2:40,2:41
2:51,2:52
2:53,2:54
2:56,2:57
3:22,3:23
3:39,3:40
3:42,3:43
3:44,3:45
3:46,3:47
3:53,3:54
3:55,3:56
3:56,3:57
4:07,4:08
4:09,4:10
4:12,4:13"
